,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
735,강남 신세계 센트럴시티 커튼월 라이트박스,인앤아웃컴퍼니,37.5047203,127.0043857,서울특별시 서초구 반포동  19-3,서울특별시 서초구 신반포로  176 센트럴시티,6.0 x 2.0m x 5기,.,00:00 - 24:00,고속터미널,신세계백화점,,,,,-,"5기 - 1,500만원/월출력시공비 - 500만원/회*6개월 이상 계약 시 출력시공비 1회 서비스*기재된 내용 외의 기간 및 비용 협의 가능"
736,지하철 성수역 N-Square,인앤아웃컴퍼니,37.5445315,127.056101,서울특별시 성동구 성수동2가  289-36,서울 성동구 아차산로 100 (성수동2가),7.0 x 2.5m,.,06:00 - 24:00,성수동,2030,핫플,,,,3584 x 1280,"1일 15초 120회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
737,지하철 성수역 SEONGSU15,인앤아웃컴퍼니,37.5442743,127.0569974,서울특별시 성동구 성수동2가  289-36,서울 성동구 아차산로 100 (성수동2가),"1~8, 10~15: 1.7 x 2.4m , 9: 1.5 x 2.4m",.,05:00 - 25:00,2호선,출퇴근,2030,,,,"1~8, 10~15: 900 x 1280 , 9: 800 x 1260","[단일 상품]1일 15초 200회 - 1,500만원/월1일 20초 150회 - 1,500만원/월1일 30초 100회 - 1,500만원/월[패키지 상품] 성수15+강남Art+홍대Art 2,700만원/월성수15+강남싱크 3,100만원/월성수15+강남싱크+ 홍대싱크 4,000만원/월*패키지 상품 상세 정보는 소개서 확인 *기재된 내용 외의 기간 및 비용 협의 가능"
738,그랜드 조선 부산 LED,인앤아웃컴퍼니,35.160102,129.1631314,부산 해운대구 중동 1405-16,부산 해운대구 해운대해변로 292 (중동),24.0 x 31.2m,.,06:00 - 24:00,해운대,해수욕장,호텔,관광명소,,,2880 x 3744,"1일 30초 70회 - 5,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
739,홍대 NINE 전광판,인앤아웃컴퍼니,37.5558364,126.922897,서울특별시 마포구 동교동  162-1,서울특별시 마포구 양화로  152,11.0 x 14.8m,.,06:00 - 24:00,홍대입구역,9번출구,만남의장소,,,,1056 x 1440,"1일 15초 100회 - 1,000만원/월1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
740,대구 MBC네거리 호산빌딩 옥상전광판,인앤아웃컴퍼니,35.8665814,128.6305931,대구 수성구 범어동 128-6,대구 수성구 국채보상로 914 (범어동),12.8 x 6.4m,.,06:00 - 24:00,MBC네거리,왕복8차선,,,,,제작가이드 별도문의,1일 20초 150회 - 350만원/월*관공서 기준 판매가 확인必*기재된 내용 외의 기간 및 비용 협의 가능
741,대전 뉴유성프라자 옥상전광판,인앤아웃컴퍼니,36.3543292,127.3387785,대전 유성구 봉명동 448-16,대전 유성구 계룡로 72 (봉명동),"전면 15.5 x 10.7m , 우측면 8.4 x 10.7m (조명)",.,06:00 - 24:00,유성네거리,유성온천역,,,,,제작가이드 별도문의,1일 20초 100회 - 500만원/월*관공서 기준 판매가 확인必*기재된 내용 외의 기간 및 비용 협의 가능
742,대전역광장 시그니아빌딩 전광판,인앤아웃컴퍼니,36.3305635,127.4332156,대전 동구 중동 75-11,대전 동구 대전로 794-1 (중동),"9.0 x 7.0m (전광판) , 10.5 x 7.0m x 2면 (현수막)",.,06:00 - 23:50,대전역,KTX,SRT,대전역네거리,교통혼잡,,1536 x 960,1일 20초 100회 - 350만원/월*관공서 기준 판매가 확인必*기재된 내용 외의 기간 및 비용 협의 가능
743,천안 신부동 민현빌딩 전광판,인앤아웃컴퍼니,36.8190772,127.1539439,충남 천안시 동남구 신부동 363-12,충남 천안시 동남구 만남로 15 (신부동),11.0 x 7.0m,.,06:00 - 24:00,버스터미널,터미널사거리,방죽안오거리,신세계백화점,,,352 x 224,1일 20초 200회 - 350만원/월*관공서 기준 판매가 확인必*기재된 내용 외의 기간 및 비용 협의 가능
744,부산 충무동 자갈치시장 전광판,인앤아웃컴퍼니,35.096698,129.0255164,부산 서구 충무동1가 2-3,부산 서구 구덕로 95 (충무동1가),14.4 x 8.0m x 2면,.,06:00 - 24:00,자갈치역,자갈치시장,보수동,남포동,,,제작가이드 별도문의,1일 20초 100회 (1면) - 350만원/월1일 20초 100회 (2면) - 750만원/월*보수동 or 남포동 방향 중 택1 가능*기재된 내용 외의 기간 및 비용 협의 가능
745,이태원로 가로변 버스쉘터,인앤아웃컴퍼니,37.5350806,126.9851033,서울특별시 용산구 용산동2가  6-6,NULL,"외경 1.01 x 1.88m, 내경 0.96 x 1.83m",.,00:00 - 24:00,,,,,,,-,"14기 28면 (10개소) - 3,220만원/월제작비 - 196만원*기재된 내용 외의 기간 및 비용 협의 가능"
746,이태원로 가로변 버스쉘터,인앤아웃컴퍼니,37.5370104,127.0008181,서울특별시 용산구 한남동  738-29,서울특별시 용산구 이태원로  261-1 구두수선대,"외경 1.01 x 1.88m, 내경 0.96 x 1.83m",.,00:00 - 24:00,,,,,,,-,"14기 28면 (10개소) - 3,220만원/월제작비 - 196만원*기재된 내용 외의 기간 및 비용 협의 가능"
747,이태원로 가로변 버스쉘터,인앤아웃컴퍼니,37.5408305,127.0020871,서울특별시 용산구 한남동  727-33,NULL,"외경 1.01 x 1.88m, 내경 0.96 x 1.83m",.,00:00 - 24:00,,,,,,,-,"14기 28면 (10개소) - 3,220만원/월제작비 - 196만원*기재된 내용 외의 기간 및 비용 협의 가능"
748,진주 10호광장교차로 전광판,인앤아웃컴퍼니,35.1718539,128.0618453,경남 진주시 평거동 205-3,경남 진주시 순환로 530 (평거동),12.5 x 6.1m,.,06:00 - 23:00,남강,상습정체구간,대형마트,병원,,,제작가이드 별도문의,1일 20초 100회 - 350만원/월1일 30초 100회 - 400만원/월*기재된 내용 외의 기간 및 비용 협의 가능
749,군산 경장사거리 삼일빌딩 옥상빌보드,인앤아웃컴퍼니,35.9730319,126.7267036,전북특별자치도 군산시 경장동 488-1,전북특별자치도 군산시 번영로 38 (경장동),"A 12.6 x 7.2m x 2면, B 6.0 x 7.2m x 2면",.,00:00 - 24:00,경포천,송경교,경장사거리,,,,-,"1기(4면) - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
750,대구 산격청사 현대빌딩 옥상빌보드,인앤아웃컴퍼니,35.8879009,128.5980001,대구광역시 북구 침산동  13-91,대구광역시 북구 중앙대로  617,"10.5 x 7.0m x 2면, 16.7 x 7.0m x 2면",.,00:00 - 24:00,도청교,경북대학교,동침산네거리,,,,-,"1기(4면) - 1,200만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
751,대전 금성당빌딩 옥상빌보드,인앤아웃컴퍼니,36.3303325,127.4307872,대전광역시 동구 중동  27-1,대전광역시 동구 중앙로  194-1,"20.0 x 10.0m x 2면, 7.0 x 10.0m x 1면",.,00:00 - 24:00,대전역,KTX,목척교,중앙시장,,,-,"1기(3면) - 1,400만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
752,대전 미래빌딩 옥상빌보드,인앤아웃컴퍼니,36.3330448,127.4315249,대전 동구 정동 14-14,대전 동구 대전로 825 (정동),"18.0 x 7.5m x 2면, 12.0 x 7.5m x 1면",.,00:00 - 24:00,대전역네거리,대전로,KTX,SRT,,,-,"1기(3면) - 1,200만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
753,진주 강남빌딩 옥상빌보드,인앤아웃컴퍼니,35.1869831,128.086798,경상남도 진주시 강남동  27-2,경상남도 진주시 진주대로  977,"13.0 x 10.0m x 2면, 18.0 x 10.0m x 2면",.,00:00 - 24:00,진주교,진주교차로,남강,통계청사거리,,,-,"1기(4면) - 1,500만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
754,진주 몬테소리빌딩 옥상빌보드,인앤아웃컴퍼니,35.1880906,128.0868741,경남 진주시 칠암동 496-5,경남 진주시 진주대로 988 (칠암동),"3.6 x 6.0m x 1면, 14.5 x 6.0m x 2면",.,00:00 - 24:00,진주대로,남강,통계청사거리,,,,-,"1기(3면) - 1,100만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
755,창원 경남버스회관 옥상빌보드,인앤아웃컴퍼니,35.2173621,128.5757016,경남 창원시 마산회원구 회원동 68-45,경남 창원시 마산회원구 3.15대로 482 (회원동),"16.2 x 7.2m x 2면, 13.1 x 7.2m x 1면",.,00:00 - 24:00,종합운동장,마산회원구청,회원사거리,,,,-,"1기(3면) - 1,200만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
756,창원 성주빌딩 옥상빌보드,인앤아웃컴퍼니,35.2186177,128.587438,경남 창원시 마산합포구 산호동 205-1,경남 창원시 마산합포구 합포로 240 (산호동),"17.0 x 9.8m x 2면, 15.0 x 9.8m x 2면",.,00:00 - 24:00,신세계백화점,창원NC파크,고속터미널,,,,-,"1기(4면) - 1,300만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
757,창원 현대메디빌딩 옥상빌보드,인앤아웃컴퍼니,35.2574967,128.6082451,경남 창원시 의창구 팔용동 162-1,경남 창원시 의창구 의창대로 72 (팔용동),"18.0 x 9.0m x 2면, 16.0 x 9.0m x 2면",.,00:00 - 24:00,남해고속도로,창원역삼거리,창원역,KTX,,,-,"1기(4면) - 1,300만원/월*2년 계약 기준 > 모든 비용 당사 부담*기재된 내용 외의 기간 및 비용 협의 가능"
758,광화문 고려빌딩 전광판,인앤아웃컴퍼니,37.5704971,126.974762,서울 종로구 신문로1가 24,서울 종로구 새문안로 91 (신문로1가),11.0 x 6.6m,.,06:00 - 24:00,광화문,광장,세종문화회관,,,,528 x 320,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
759,부산 광안리 빌보드,인앤아웃컴퍼니,35.1548998,129.1206099,부산 수영구 민락동 178-10,부산 수영구 광안해변로 243-1 (민락동),"외경 4.4 x 8.0m, 내경 4.2 x 7.8m",.,06:00 - 24:00,광안해변로,드론쇼,버스킹,관광,,,-,"1기 - 2,500만원/월제작비 - 400만원*기재된 내용 외의 기간 및 비용 협의 가능"
760,광화문 KT-SQUARE,인앤아웃컴퍼니,37.5721535,126.9778819,서울 종로구 세종로 100,서울 종로구 세종대로 178 (세종로),46.1 x 19.2m x 2기,.,06:00 - 24:00,광화문광장,세종문화회관,교보문고,청계광장,5호선,,5760 x 2400 x 2기 --- (1440+4320) x 2400 / (4320+1440) x 2400,"1일 30초 70회 - 12,000만원/월SYNC (00:30, 1일 30초 36회) - 6,000만원/월*소재 제작비 별도*기재된 내용 외의 기간 및 비용 협의 가능"
761,성수 연무장길 캔버스 LED,인앤아웃컴퍼니,37.5435892,127.0518671,서울 성동구 성수동2가 302-12,서울 성동구 연무장길 21 (성수동2가),2.6x6.7m,.,06:00 - 24:00,,,,,,,640x1680,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월"
762,지하철 9호선 여의도역 Canvas9,인앤아웃컴퍼니,37.5219366,126.9238417,서울특별시 영등포구 여의도동  2-6,서울특별시 영등포구 의사당대로  101 여의도역,1.8 x 2.0m x 4면 x 8기,.,05:00 - 25:00,9호선,금융,비즈니스,2050,,,1120 x 1280 x 4면 x 8기,"1일 30초 100회 - 500만원/월4개역 패키지(17기)> 1일 30초 100회 - 1,500만원/월> 1일 20초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
763,지하철 9호선 노량진역 Canvas9,인앤아웃컴퍼니,37.513624,126.940863,서울특별시 동작구 노량진동  60-11,서울특별시 동작구 노량진로  130 9호선 노량진역,1.8 x 2.0m x 4면 x 3기,.,05:00 - 25:00,수산시장,수험생,원룸촌,,,,1120 x 1280 x 4면 x 3기,"1일 30초 100회 - 350만원/월4개역 패키지(17기)> 1일 30초 100회 - 1,500만원/월> 1일 20초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
764,지하철 9호선 고속터미널역 Canvas9,인앤아웃컴퍼니,37.5060836,127.0042704,서울특별시 서초구 잠원동  110,서울특별시 서초구 신반포로  200 강남터미널지하쇼핑몰,1.8 x 2.0m x 4면 x 3기,.,05:00 - 25:00,환승역,백화점,호텔,,,,1120 x 1280 x 4면 x 3기,"개별 판매 X4개역 패키지(17기)> 1일 30초 100회 - 1,500만원/월> 1일 20초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
765,지하철 9호선 신논현역 Canvas9,인앤아웃컴퍼니,37.5045942,127.024859,서울특별시 강남구 논현동  279-165,서울특별시 강남구 봉은사로  102 신논현역,1.8 x 2.0m x 4면 x 3기,.,05:00 - 25:00,9호선,교보타워,맛집거리,,,,1120 x 1280 x 4면 x 3기,"개별 판매 X4개역 패키지(17기)> 1일 30초 100회 - 1,500만원/월> 1일 20초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
766,코엑스 XPACE 전광판,인앤아웃컴퍼니,37.5120667,127.0578234,서울특별시 강남구 삼성동  159,서울특별시 강남구 테헤란로87길  58 컨벤션별관,"엣지컬럼 3.8 x 4.3m x 2면, 2.2 x 4.3m x 1면 / 브릿지 6.7 x 2.9m, 빅브릿지 6.4 x 11.2m / 와이드브릿지 13.4 x 2.9m, 스퀘어브릿지 4.2 x 4.2m",.,08:00 - 22:00,파르나스몰,전시,현대백화점,비즈니스,,,"엣지컬럼 2480 x 2160, 브릿지 1680 x 720, 빅브릿지 1600 x 2800, 와이드브릿지 3200 x 880, 스퀘어브릿지 1040 x 1040","엣지컬럼 1일 30초 90회 - 2,000만원/월패키지A 1일 30초 90회 - 2,300만원/월패키지B 1일 30초 90회 - 700만원/월전체 패키지 - 4,800만원/월*개별 매체 단위 구매 불가*15초 상품은 상기 금액에서 50% 할인*기재된 내용 외의 기간 및 비용 협의 가능"
767,테헤란로 T204 전광판,인앤아웃컴퍼니,37.5010036,127.0387213,서울 강남구 역삼동 718,서울 강남구 테헤란로 204 (역삼동),12.2 X 18.4m,.,06:00 - 24:00,역삼역,2호선,비즈니스,오피스상권,,,1200 x 1824,"1일 15초 80회 - 1,000만원/월1일 20초 80회 - 1,200만원/월1일 30초 80회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
768,롯데월드몰 스퀘어스탠딩,인앤아웃컴퍼니,37.5135219,127.1029381,서울특별시 송파구 신천동  29,서울특별시 송파구 올림픽로  300 롯데월드타워앤드롯데월드몰,1.3 x 2.6m x 4기,.,10:30 - 22:30,쇼핑몰,잠실역,2호선,,,,1250 x 2500,"1일 30초 70회 - 1,000만원/월*개별 송출 가능*기재된 내용 외의 기간 및 비용 협의 가능"
769,서울 버스 TV,인앤아웃컴퍼니,37.5439057,127.0166515,서울특별시 성동구 옥수동  332-1,NULL,0.92 x 0.28m (37인치 LCD),.,06:00 - 24:00,서울시 전역,,,,,,1920 x 540,"베이직 상품 - 4,000만원/월브랜디드 콘텐츠 - 2,000만원/월*1기당 일 평균 80회(15초 영상)*기재된 내용 외의 기간 및 비용 협의 가능"
770,광화문 룩스(LUUX) 전광판,인앤아웃컴퍼니,37.5695434,126.9780007,서울특별시 종로구 서린동  159-1,서울특별시 종로구 청계천로  1 동아일보사,49.5 x 60.5m,.,06:00 - 24:00,동아일보,광화문역,청계광장,교보문고,,,4728 x 5760,"1일 20초 70회 - 7,000만원/월1일 30초 50회 - 7,000만원/월1일 20초 100회 - 10,000만원/월1일 30초 70회 - 10,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
771,KTX 서울역 파노라마 전광판,인앤아웃컴퍼니,37.5540955,126.9712512,서울특별시 용산구 동자동  43-205,서울특별시 용산구 한강대로  405 서울역(철도역),"광고면 91.0 x 5.5m, 전체 112.0 x 5.5m",.,05:00 - 25:00,환승역,파노라마,KTX,,,,35740 x 2160,"1일 20초 100회 - 8,000만원/월1일 30초 100회 - 8,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
772,을지로입구 M-CITY 전광판,인앤아웃컴퍼니,37.5664962,126.9836981,서울특별시 중구 을지로2가  6,서울특별시 중구 을지로  51 내외빌딩,78.3 x 22.0m,.,06:00 - 24:00,을지로사거리,쇼핑,관광,,,,"7512 x 2112 (좌측면 4572x2112, 우측면 2940x2112)","1일 20초 100회 - 7,000만원/월1일 30초 70회 - 7,000만원/월*2025.11 오픈 예정*기재된 내용 외의 기간 및 비용 협의 가능"
773,전주 전북일보 전광판,인앤아웃컴퍼니,35.8390216,127.1308803,전북특별자치도 전주시 덕진구 금암동 710-5,전북특별자치도 전주시 덕진구 기린대로 418 (금암동),11.3 x 7.0m,.,06:00 - 24:00,전북일보,종합경기장,전북대학교,,,,512 x 320,1일 15초 72회 - 400만원/월*기재된 내용 외의 기간 및 비용 협의 가능
774,금천 남부순환로 마인드빌딩 전광판,인앤아웃컴퍼니,37.4788765,126.8909749,서울특별시 금천구 가산동  141-1,서울특별시 금천구 남부순환로  1262 MIND관광호텔,13.0 x 11.0m,.,06:00 - 24:00,디지털단지,마리오아울렛,오피스,,,,제작가이드 별도문의,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
775,구로 동해빌딩 전광판,인앤아웃컴퍼니,37.4832647,126.9012487,서울 구로구 구로동 1125-6,서울 구로구 시흥대로 561 (구로동),15.0 x 8.0m,.,06:00 - 24:00,디지털단지,2호선,도림천,시흥대로,,,제작가이드 별도문의,1일 20초 100회 - 400만원/월*기재된 내용 외의 기간 및 비용 협의 가능
776,영등포 태광빌딩 전광판,인앤아웃컴퍼니,37.5169893,126.9076496,서울 영등포구 영등포동3가 10-4,서울 영등포구 경인로 855 (영등포동3가),11.2 x 17.9m,.,06:00 - 24:00,영등포역,롯데백화점,타임스퀘어,,,,1120 x 1792,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
777,퇴계로 제일병원 전광판,인앤아웃컴퍼니,37.5621121,126.9990372,서울 중구 충무로5가 52-25,서울 중구 퇴계로 244 (충무로5가),10.3 x 6.1m,.,06:00 - 24:00,퇴계로,교차로,동국대,,,,1280 x 720,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
779,울산 공업탑로터리 아고라빌딩 전광판,인앤아웃컴퍼니,35.5322507,129.3086246,울산 남구 신정동 1233-9,울산 남구 삼산로 4 (신정동),9.0 x 16.0m,.,06:00 - 23:30,공업탑로터리,,,,,,864 x 1536,"1일 20초 100회 - 800만원/월1일 30초 100회 - 1,100만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
780,노원 투명LED 전자게시대,인앤아웃컴퍼니,37.6543749,127.060105,서울특별시 노원구 상계동  739,서울특별시 노원구 동일로  1411-2 구두수선대,5.0 x 1.0m,.,06:00 - 24:00,노원역사거리,교보빌딩,,,,,제작가이드 별도문의,1일 20초 130회 - 55만원/월광고디자인 - 10만원*계약기간 최소 1개월*기재된 내용 외의 기간 및 비용 협의 가능
781,노원 투명LED 전자게시대,인앤아웃컴퍼니,37.6535195,127.0580769,서울특별시 노원구 상계동  734-2,서울특별시 노원구 노해로  450 해청빌딩,5.0 x 1.0m,.,06:00 - 24:00,북부고용센터,노원구청,,,,,제작가이드 별도문의,1일 20초 130회 - 55만원/월광고디자인 - 10만원*계약기간 최소 1개월*기재된 내용 외의 기간 및 비용 협의 가능
782,노원 투명LED 전자게시대,인앤아웃컴퍼니,37.6546502,127.063074,서울특별시 노원구 상계동  724-3,서울특별시 노원구 노해로  494 고려빌딩,5.0 x 1.0m,.,06:00 - 24:00,문화의거리,,,,,,제작가이드 별도문의,1일 20초 130회 - 55만원/월광고디자인 - 10만원*계약기간 최소 1개월*기재된 내용 외의 기간 및 비용 협의 가능
783,노원 투명LED 전자게시대,인앤아웃컴퍼니,37.652395,127.0609175,서울특별시 노원구 상계동  730-2,서울특별시 노원구 동일로  1389 상계주공아파트 302동,5.0 x 1.0m,.,06:00 - 24:00,아파트단지,상계3단지,,,,,제작가이드 별도문의,1일 20초 130회 - 55만원/월광고디자인 - 10만원*계약기간 최소 1개월*기재된 내용 외의 기간 및 비용 협의 가능
784,명동 무빙 미디어폴 팔로잉미디어,인앤아웃컴퍼니,37.5636312,126.9843914,서울특별시 중구 명동2가  50-4,서울특별시 중구 명동길  38,3.2 x 4.2m (양방향),.,06:00 - 24:00,명동거리,명동예술극장,관광,쇼핑,,,1600 x 1920 (1600 x 480 x 4기),"1일 20초 100회(1기) - 1,600만원/월1일 30초 100회(1기) - 2,000만원/월1일 20초 100회(2기) - 2,500만원/월1일 30초 100회(2기) - 3,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
785,명동 무빙 미디어폴 팔로잉미디어,인앤아웃컴퍼니,37.5611649,126.9850806,서울특별시 중구 충무로1가  26-1,서울특별시 중구 명동8길  54-1 구두수선대257,3.2 x 4.2m (양방향),.,06:00 - 24:00,명동거리,명동역,글로벌,관광,,,1600 x 1920 (1600 x 480 x 4기),"1일 20초 100회(1기) - 1,600만원/월1일 30초 100회(1기) - 2,000만원/월1일 20초 100회(2기) - 2,500만원/월1일 30초 100회(2기) - 3,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
786,광화문 루미미디어 전광판,인앤아웃컴퍼니,37.5706115,126.9763604,서울 종로구 세종로 202-1,서울 종로구 세종대로 159 (세종로),22.2 x 30.5m,.,06:00 - 24:00,세종대로,비즈니스,관광,광화문,,,2192 x 2976,"1일 20초 100회 - 5,000만원/월1일 30초 70회 - 5,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
787,부산 서면 미디어폴,인앤아웃컴퍼니,35.1547375,129.0596161,부산광역시 부산진구 부전동  193-1,부산광역시 부산진구 중앙대로  694 쥬디스태화,"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
788,부산 서면 미디어폴,인앤아웃컴퍼니,35.1555002,129.0595816,부산 부산진구 부전동 165-2,부산 부산진구 중앙대로 704 (부전동),"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
789,부산 서면 미디어폴,인앤아웃컴퍼니,35.15524,129.0621056,부산 부산진구 부전동 169-1,부산 부산진구 동천로 73 (부전동),"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
790,부산 서면 미디어폴,인앤아웃컴퍼니,35.1543232,129.0618018,부산 부산진구 부전동 222-2,부산 부산진구 중앙대로692번길 46 (부전동),"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
791,부산 서면 미디어폴,인앤아웃컴퍼니,35.1546048,129.0588094,부산 부산진구 부전동 254-20,부산 부산진구 중앙대로 691 (부전동),"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
792,부산 서면 미디어폴,인앤아웃컴퍼니,35.1545654,129.0580505,부산 부산진구 부전동 242-29,부산 부산진구 중앙대로691번길 18 (부전동),"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
793,부산 서면 미디어폴,인앤아웃컴퍼니,35.157964,129.0566467,부산 부산진구 부전동 486-12,부산 부산진구 가야대로 777 (부전동),"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
794,부산 서면 미디어폴,인앤아웃컴퍼니,35.1573301,129.0574091,부산광역시 부산진구 부전동  490-43,부산광역시 부산진구 가야대로  784,"LED - 1.3 x 5.8m x 8기 / 조명 - 상단 1.1 x 5.5m x 8기, 하단 0.7 x 1.3m x 8기",.,06:00 - 24:00,,,,,,,256 x 1152,1일 20초 120회 - 400만원/월조명 1기(상단+하단) - 500만원/월제작비 - 100만원/기*2년 이상 계약 시 제작비 서비스*기재된 내용 외의 기간 및 비용 협의 가능
795,전주 원광대한방병원네거리 전광판,인앤아웃컴퍼니,35.8471576,127.1188703,전북특별자치도 전주시 덕진구 덕진동2가 207-10,전북특별자치도 전주시 덕진구 기린대로 558 (덕진동2가),11.5 x 5.3m,.,06:00 - 24:00,전북대,덕진호,가련산공원,,,,제작가이드 별도문의,1일 20초 200회 - 300만원/월*기재된 내용 외의 기간 및 비용 협의 가능
796,전주 팔달로 태평양수영장 오거리 전광판,인앤아웃컴퍼니,35.8329785,127.1375532,전북특별자치도 전주시 덕진구 금암동 452-8,전북특별자치도 전주시 덕진구 팔달로 366 (금암동),12.0 x 6.5m,.,07:00 - 22:00,,,,,,,제작가이드 별도문의,1일 20초 120회 - 250만원/월*기재된 내용 외의 기간 및 비용 협의 가능
797,용산역 아이파크몰 도파민스테이션,인앤아웃컴퍼니,37.5304435,126.9652377,서울특별시 용산구 한강로3가  40-999,서울특별시 용산구 한강대로23길  55 용산역,4.6 x 2.0m x 2기,.,08:00 - 24:00,,,,,,,제작가이드 별도문의,"1일 30초 100회 - 1,500만원/월*2기 동시 송출*기재된 내용 외의 기간 및 비용 협의 가능"
798,대구 신매네거리 전광판,인앤아웃컴퍼니,35.8412432,128.7048561,대구 수성구 매호동 1344-22,대구 수성구 달구벌대로 3181 (매호동),8.0 x 9.5m,.,06:00 - 23:00,달구벌대로,신매역,,,,,768 x 944,1일 20초 120회 - 200만원/월*기재된 내용 외의 기간 및 비용 협의 가능
799,대구 동성로 한미빌딩 전광판,인앤아웃컴퍼니,35.8689727,128.5956378,대구광역시 중구 동성로2가  160-4,대구광역시 중구 동성로6길  2-1,21.7 x 5.0m,.,06:00 - 24:00,동성로,중앙로역,쇼핑,관광,,,2176 x 480,1일 20초 200회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
