,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
325,도산대로 유경빌딩,인앤아웃컴퍼니,37.5174154,127.0217421,서울 강남구 신사동 514-16,서울 강남구 도산대로 121 (신사동),12.5m x 17.3m,.,06:00 - 24:00,신사역,가로수길,명품,황금상권,,"37.5176315,127.0233461,-477.47969118944303,13.082259979574978,100",1248 x 1728,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
326,도산대로 강남빌딩,인앤아웃컴퍼니,37.5208324,127.0305827,서울 강남구 신사동 588-21,서울 강남구 도산대로 217 (신사동),13.0 x 17.2m,.,06:00 - 24:00,명품브랜드,수입차,고급주거단지,,,"37.5199787,127.0292336,-701.3647312944444,8.562933804812705,100",1280 x 1680,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
328,도산대로 S&S타워,인앤아웃컴퍼니,37.5237127,127.0404854,서울 강남구 청담동 87-4,서울 강남구 도산대로 409 (청담동),13.0 x 17.2m,. ,06:00 - 24:00,명품거리,청담스퀘어,수입차,압구정,,"37.5231389,127.0391777,-681.20615796228,2.9137760863598574,100",1280 x 1696,"1일 15초 100회 - 1,000만원/월1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
329,도산대로 BMW 빌딩,인앤아웃컴퍼니,37.5220334,127.0341141,서울 강남구 신사동 630-7,서울 강남구 도산대로 301 (신사동),13.0m x 8.0m,.,06:00 - 24:00,언주로,도산공원,수입차,VIP,,"37.5213109,127.0338373,-375.4380633487605,5.827552172719787,100",1920 x 1080,1일 20초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
330,도산대로 학빌딩 전광판,인앤아웃컴퍼니,37.5217629,127.0332744,서울 강남구 신사동 629-24,서울 강남구 도산대로 239 (신사동),16.5 x 9.0m,.,06:00 - 24:00,수입차,명품브랜드,언주로,,,"37.5214781,127.0339641,-436.567896344228,12.309217344418304,100",1280 x 768,"1일 20초 150회 - 1,200만원/월1일 30초 100회 - 1,200만원/월*썬앤빌 패키지(2,000만원) 우선 판매*기재된 내용 외의 기간 및 비용 협의 가능"
331,제주 중앙로 사거리,인앤아웃컴퍼니,33.5135234,126.5245143,제주특별자치도 제주시 일도일동 1425-4,제주특별자치도 제주시 중앙로 54 (일도일동),12.0m x 6.5m,#제주 #칠성로 #탑동 #중앙로 #원도심 #금융가 #동문시장,06:00 - 24:00,동문시,칠성로,탑동,중앙로,,"33.5130961,126.5244019,-361.4248389705269,7.942534832128818,100",960 x 500,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
332,제주 광양사거리 그린빌딩,인앤아웃컴퍼니,33.5009222,126.5285508,제주특별자치도 제주시 이도일동 1774-1,제주특별자치도 제주시 중앙로 206 (이도일동),10.5m x 6.7m,#제주 #중앙로 #서광로 #관공서 #금융기관 #광양사거리 #시청 #대학로 #성판악 #한라산   ,07:00 - 23:00,중앙로,시청,,,,"33.5007122,126.5293438,-96.2592826571739,3.957654801809825,100",1320 x 840,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
333,광양사거리 다이소빌딩,인앤아웃컴퍼니,33.5006816,126.5295448,제주특별자치도 제주시 이도이동 1176-109,제주특별자치도 제주시 중앙로 213 (이도이동),11.5m x 6.7m,#중앙로 #동광로 #사거리 #관공서 #금융기관 #대학가 #시청 먹자골목 ,06:00 - 24:00,중앙로,동광로,시청,시청,시청,"33.5004935,126.5286414,73.23583471910007,7.42671024537148,100",1152 x 672,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
334,강남대로 우신빌딩,인앤아웃컴퍼니,37.5019976,127.0252615,서울 서초구 서초동 1304-5,서울 서초구 강남대로 445 (서초동),10.5m x 6.5m,.,06:00 - 24:00,교보타워,신논현역,신분당선,,,"37.5018347,127.0259268,-452.26660831971685,6.422200353609513,100",1920 x 1080,1일 20초 100회 - 900만원/월*기재된 내용 외의 기간 및 비용 협의 가능
335,신사 송천빌딩,인앤아웃컴퍼니,37.518997,127.0191046,서울 강남구 신사동 503,서울 강남구 강남대로 642 (신사동),12.0m x 9.0m,#강남 #신사 # #버스승하차 #환승구간 #신세계백화점 #쇼핑 #관광 ,06:00 - 24:00,강남대로,한남대교,가로수길,,,"37.519561,127.0183207,101.89893968779097,7.539786623132864,90",1920 x 1080,"1일 20초 50회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
